title,description,level,goal,equipment,program_length,time_per_workout,total_exercises
5.0 weeks for ['Powerlifting'],"The infamous Arnolds antagonist split, the programs requires 7-8 hrs optimal sleep and proper protein and water intake for minimal fatigue throught the cycle. Make volume and workout changes as per the need.",['Novice'],['Powerlifting'],Full Gym,5.0,90.0,180
"9.0 weeks for ['Athletics', 'Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",In depth focus on individual goals Last week assessment,['Intermediate'],"['Bodybuilding', 'Muscle & Sculpting', 'Powerbuilding', 'Athletics']",Full Gym,9.0,60.0,125
Full Body Confidence by Vikki Hill,"Full Body Confidence is her 4 day full body split designed to do just that. Start light, take your time and watch your confidence grow and glow.","['Beginner', 'Novice', 'Intermediate']","['Bodybuilding', 'Powerbuilding']",Full Gym,8.0,60.0,200
mishas PPLM,building muscle,"['Intermediate', 'Advanced']","['Bodybuilding', 'Muscle & Sculpting']",Garage Gym,6.0,90.0,168
Wedding SZN,"To lose fat around the back and core area, while maintaining muscle mass in other regions","['Novice', 'Intermediate', 'Advanced']",['Bodybuilding'],Full Gym,12.0,60.0,276
"5.0 weeks for ['Bodybuilding', 'Muscle & Sculpting']",The purpose is to create the strength of dinosaur killer pickle and the size of his physique in a realistic perspective.,['Advanced'],['Bodybuilding'],Garage Gym,5.0,90.0,75
Squats & Science Beginner Volume Program,"This is a 6 week long powerlifting volume block for novice lifters from the smart folks at Squats & Science. This program has the beginner lifter training 6 days per week. Squats and bench press are both trained 3 times per week, while deadlift is trained 2 times per week. It should be run prior to a strength or peaking block to help accumulate volume before tapering the volume and increasing intensity.","['Novice', 'Intermediate', 'Advanced']","['Powerbuilding', 'Athletics', 'Powerlifting', 'Olympic Weightlifting']",Full Gym,6.0,120.0,142
Greek God,Hypertrophy without living in the gym,['Novice'],['Muscle & Sculpting'],Garage Gym,6.0,40.0,147
3/4/5 SBD Program,"A flexible and simple SBD program for those who want to focus on improving their compound lifts. Each week, increase each lift by 5 lbs if all of the target reps are hit the week prior. Similar to 5/3/1, only use 85 of your 1RM to determine your numbers. Week one, start with 85 of your training max 85 of your 1RM and go from there. This program is designed to run indefinitely. If target reps are not hit, decrease the weight by 10 the next week.",['Novice'],"['Bodybuilding', 'Muscle & Sculpting']",Garage Gym,12.0,60.0,108
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",This program is to slowly build strength while starting or improving your conditioning levels.,"['Beginner', 'Intermediate']","['Bodybuilding', 'Muscle & Sculpting', 'Powerbuilding']",Garage Gym,6.0,60.0,84
Silat Martial Arts supplemental weightlifting program,"Hypertrophy gain and general strength to supplement a martial arts program. This program has an upper body bias as you should also be completing 3 Day of Martial arts, conditioning, and/or agility. Legs are worked, but you should never be so sore that you cant throw a kick because you lifted weights on this program. Of course, soreness will occur, but you should never feel like shit from training too hard during this program. Have fun, lift weights, and learn to fight.",['Intermediate'],"['Powerbuilding', 'Powerlifting']",Full Gym,3.0,70.0,48
Beginner Intermediate Program,"To Follow the beginner program previously listed, so that you can become jacked and stacked more than before","['Beginner', 'Novice', 'Intermediate']","['Bodybuilding', 'Bodyweight Fitness']",Garage Gym,8.0,60.0,166
Prep Strong,Staying Strong While in a Deficit,"['Novice', 'Intermediate', 'Advanced']","['Powerbuilding', 'Powerlifting']",Full Gym,6.0,70.0,267
"7.0 weeks for ['Bodybuilding', 'Powerlifting', 'Powerbuilding', 'Muscle & Sculpting', 'Bodyweight Fitness']","7.0 weeks program for ['Muscle & Sculpting', 'Athletics', 'Bodyweight Fitness']",['Novice'],"['Muscle & Sculpting', 'Athletics', 'Bodyweight Fitness']",Full Gym,7.0,130.0,98
Baki Mode,"For the truest of gymcells, bodybuilding focused program, do as many reps as possible with a moderate amount of weight, choose a comfortable rep range and evolve.",['Novice'],"['Bodybuilding', 'Muscle & Sculpting', 'Powerbuilding']",Full Gym,18.0,120.0,847
"1.0 weeks for ['Bodybuilding', 'Muscle & Sculpting']",To increase the strength and efficiency,"['Intermediate', 'Advanced']","['Bodybuilding', 'Muscle & Sculpting']",Full Gym,1.0,50.0,28
Big Boy Jitler,Get Jitler to big boi status,"['Beginner', 'Novice', 'Intermediate', 'Advanced']","['Bodybuilding', 'Powerbuilding']",Dumbbell Only,12.0,60.0,444
Be an athlete,"This program can be run both in and out of season to ensure a strong, solid athletic base is built and maintained. To make sure you progress week to week, try to add 5lbs to whatever weight you used the previous week OR that you are completing the exercise with better form and range of motion. The days youre not lifting, should be cardio and/or recovery focused. Think sprints, ladders, footwork and mobility",['Advanced'],"['Bodybuilding', 'Powerbuilding', 'Athletics']",Full Gym,8.0,80.0,216
Jake and Javon Strength Training,To build strength.,['Advanced'],['Bodybuilding'],Full Gym,4.0,70.0,120
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']","This program is designed to build strength and muscle mass through progressive overload. By consistently increasing weights while maintaining a 15-10 rep range, it ensures continuous muscle adaptation and growth. The structured split focuses on compound movements, muscle isolation, and time under tension, maximizing both hypertrophy and functional strength. Approach - Select a weight that brings you to failure within 15 to 10 reps. - Increase weight in every set. - If you cant increase the weight, push for more reps within the 10-15 rep range. - If you can exceed 15 reps, increase the weight.",['Intermediate'],"['Muscle & Sculpting', 'Bodyweight Fitness']",Full Gym,6.0,90.0,222
Woodys power building,Building strength and some muscle after you complete the program you can do a deload followed by resting the program with the weights you was using on the last week. And the best part is that literally anyone can take advantage of a program like this because you can start at any level,"['Intermediate', 'Advanced']","['Bodybuilding', 'Powerbuilding', 'Bodyweight Fitness']",Full Gym,6.0,50.0,132
Bro Split Forever,"This program is created for the gym bros, who cant have a day off . Everyday we work on a single muscle group, but we still hit every muscle twice in 7 days. If its done properly you dont have to worry for overtraining",['Novice'],['Powerbuilding'],Garage Gym,10.0,50.0,341
